# Program:featureCounts v1.5.0-p1; Command:"featureCounts" "-T" "1" "--minOverlap" "1" "-D" "600" "-d" "50" "-g" "gene_id" "-t" "exon" "-F" "GTF" "-S" "fr" "-s" "2" "-o" "counts.txt" "-a" "/tmp/tmpHTk84S/stgdc4c2f59-9695-4a36-9890-6624f143a433/hg19.gencode_v19.chr21.gtf" "/tmp/tmpHTk84S/stgb8806063-f72c-4b67-b98c-072129176f32/chr21_1.bam" "/tmp/tmpHTk84S/stg7a8f0c97-8c34-4b8c-bd07-1e9c8b2f4929/chr21_2.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/tmpHTk84S/stgb8806063-f72c-4b67-b98c-072129176f32/chr21_1.bam	/tmp/tmpHTk84S/stg7a8f0c97-8c34-4b8c-bd07-1e9c8b2f4929/chr21_2.bam
ENSG00000271308.1	chr21;chr21;chr21;chr21	11169788;11171979;11173891;11183419	11169841;11172043;11174002;11184046	+;+;+;+	859	0	0
ENSG00000229306.1	chr21;chr21	14371997;14388942	14372247;14389013	-;-	323	0	0
ENSG00000224309.3	chr21;chr21	14410651;14417484	14410745;14418742	+;+	1354	0	0
ENSG00000207097.1	chr21	14419904	14420010	+	107	0	0
ENSG00000256715.1	chr21;chr21;chr21;chr21	14741931;14743755;14743816;14745372	14741956;14743756;14743916;14745386	-;-;-;-	144	0	0
ENSG00000266211.1	chr21	14778705	14778781	-	77	0	0
ENSG00000228159.1	chr21;chr21;chr21;chr21	14918354;14919301;14928714;14930638	14918444;14919449;14928832;14930782	+;+;+;+	504	0	0
ENSG00000166351.6	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	14982498;14987444;14987718;14990670;14992479;14995126;15000703;15002177;15003262;15011836;15013666	14983070;14987558;14987891;14990776;14992616;14995196;15000773;15002221;15003428;15011959;15013906	+;+;+;+;+;+;+;+;+;+;+	1826	0	0
ENSG00000207476.1	chr21	14993898	14994004	+	107	0	0
ENSG00000266299.1	chr21	15017096	15017171	-	76	0	0
ENSG00000269011.1	chr21	15051621	15053459	-	1839	0	0
ENSG00000224922.1	chr21;chr21	15142253;15143886	15142534;15144061	+;+	458	0	0
ENSG00000228314.1	chr21;chr21;chr21;chr21;chr21;chr21	15215454;15216343;15217326;15218334;15219080;15220411	15215753;15216456;15217595;15218462;15219270;15220685	-;-;-;-;-;-	1279	20	15
ENSG00000215559.4	chr21;chr21;chr21;chr21;chr21;chr21	15316090;15317360;15323388;15323553;15326387;15352023	15316183;15317430;15323460;15323581;15326471;15352758	-;-;-;-;-;-	1088	0	0
ENSG00000223287.1	chr21	15340810	15340916	-	107	0	0
ENSG00000266838.1	chr21	15357768	15357840	+	73	0	0
ENSG00000224905.2	chr21;chr21;chr21;chr21	15399742;15456271;15460930;15515830	15399918;15456465;15461367;15516789	+;+;+;+	1770	0	0
ENSG00000201812.1	chr21	15443192	15443307	+	116	0	0
ENSG00000188992.7	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	15481134;15516944;15524894;15535740;15537544;15538683;15554079;15558282;15561355;15579136;15583121	15481401;15517120;15525005;15535844;15537711;15538772;15554180;15558390;15561740;15579270;15583166	-;-;-;-;-;-;-;-;-;-;-	1698	0	0
ENSG00000185272.9	chr21;chr21;chr21;chr21;chr21	15588451;15591874;15593418;15596759;15599201	15588603;15592046;15593490;15596858;15600693	+;+;+;+;+	1992	7	4
ENSG00000243064.4	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	15646120;15651917;15659871;15660725;15663891;15678017;15680692;15680874;15685265;15688522;15695833;15708401;15709501;15710102	15646478;15651978;15660018;15660867;15664068;15678163;15680776;15680940;15685452;15689956;15695908;15708578;15709561;15710338	+;+;+;+;+;+;+;+;+;+;+;+;+;+	3364	38	67
ENSG00000155304.4	chr21;chr21;chr21;chr21;chr21;chr21	15743436;15747973;15750520;15753524;15755416;15755598	15746605;15748140;15750733;15753864;15755508;15755805	-;-;-;-;-;-	4194	919	971
ENSG00000155307.13	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	15857549;15868021;15870763;15872850;15882631;15884765;15889213;15893471;15918526;15954457;15955641	15858435;15868724;15870913;15873056;15882782;15884894;15889362;15893542;15918664;15954809;15955723	-;-;-;-;-;-;-;-;-;-;-	3028	671	670
ENSG00000223662.1	chr21;chr21;chr21;chr21;chr21	15954523;15957683;15963643;15967015;15970246	15954612;15957859;15963789;15967061;15970624	+;+;+;+;+	840	0	2
ENSG00000243440.2	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	15966041;15974344;15981803;15984826;15985197;15988297;16015323;16031069	15966399;15974420;15981889;15984966;15985234;15988337;16015454;16031142	-;-;-;-;-;-;-;-	949	0	0
ENSG00000232884.3	chr21;chr21;chr21	16119083;16123184;16126122	16120696;16123230;16126184	-;-;-	1724	11	8
ENSG00000226751.2	chr21;chr21	16134031;16135159	16134472;16135411	-;-	695	20	15
ENSG00000235609.4	chr21;chr21;chr21	16191164;16197844;16229863	16196736;16197945;16230029	-;-;-	5842	55	34
ENSG00000235277.1	chr21;chr21	16290855;16318876	16291093;16319417	+;+	781	0	0
ENSG00000180530.5	chr21;chr21;chr21;chr21	16333556;16386665;16415816;16437066	16340847;16386787;16415895;16437321	-;-;-;-	7751	730	658
ENSG00000229047.1	chr21;chr21	16333630;16336406	16334042;16336554	+;+	562	0	0
ENSG00000231201.1	chr21;chr21;chr21	16343791;16346536;16364555	16343890;16346638;16365175	+;+;+	824	0	0
ENSG00000236471.1	chr21;chr21	16439391;16439856	16439533;16440158	+;+	446	1	0
ENSG00000229425.1	chr21;chr21;chr21;chr21;chr21;chr21;chr21	16742841;16762897;16766792;16767319;16767782;16772817;16774307	16743230;16762937;16766825;16767448;16767816;16772868;16774624	-;-;-;-;-;-;-	1000	0	1
ENSG00000224247.1	chr21;chr21	16866251;16868035	16867217;16868443	-;-	1376	0	0
ENSG00000212564.1	chr21	16986602	16986708	+	107	0	0
ENSG00000221497.1	chr21	17065527	17065622	+	96	0	0
ENSG00000238591.1	chr21	17080978	17081077	+	100	0	0
ENSG00000155313.11	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	17102344;17135210;17138316;17145575;17150223;17163821;17172076;17177440;17181128;17183456;17191017;17196358;17197285;17198523;17199296;17202850;17203720;17205667;17214717;17219982;17222096;17236587;17238585;17242387;17246722;17250115;17250622	17102757;17135287;17138460;17145636;17150346;17163983;17172162;17177577;17181204;17183529;17191165;17196485;17197380;17198684;17199522;17202920;17203948;17205867;17214859;17220095;17222191;17236765;17238663;17242466;17246845;17250310;17252377	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5392	484	427
ENSG00000252273.1	chr21	17407733	17407829	-	97	0	0
ENSG00000215386.6	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	17442842;17443434;17553911;17603376;17859810;17909699;17966660;17979314	17442868;17443718;17554007;17603435;17859858;17909759;17966774;17982094	+;+;+;+;+;+;+;+	3475	1	0
ENSG00000201025.1	chr21	17657017	17657089	-	73	0	0
ENSG00000270071.1	chr21;chr21;chr21	17664112;17668924;17680330	17664469;17669021;17680454	-;-;-	581	0	0
ENSG00000270139.1	chr21;chr21;chr21	17789459;17791179;17791357	17789778;17791281;17791400	-;-;-	467	0	0
ENSG00000207638.1	chr21	17911409	17911489	+	81	0	0
ENSG00000199030.1	chr21	17912143	17912236	+	94	0	0
ENSG00000269950.1	chr21;chr21	17947038;17954784	17947592;17954957	-;-	729	0	0
ENSG00000207863.1	chr21	17962557	17962645	+	89	0	0
ENSG00000228798.1	chr21;chr21	18003146;18012549	18003291;18012952	+;+	550	0	0
ENSG00000270093.1	chr21	18015848	18017384	+	1537	0	0
ENSG00000239023.1	chr21	18091317	18091476	+	160	0	0
ENSG00000237735.2	chr21;chr21;chr21	18126838;18127999;18187941	18127089;18128117;18188007	-;-;-	438	0	0
ENSG00000232886.1	chr21;chr21;chr21;chr21	18235195;18238022;18238902;18245963	18235296;18238152;18238996;18246011	-;-;-;-	377	0	0
ENSG00000252462.1	chr21	18803865	18803965	+	101	0	0
ENSG00000232560.2	chr21;chr21;chr21;chr21	18811208;18813995;18816401;18821183	18811315;18814161;18816518;18821503	+;+;+;+	714	0	0
ENSG00000252613.1	chr21	18824999	18825052	+	54	0	0
ENSG00000266195.1	chr21	18878771	18879044	+	274	0	0
ENSG00000154639.14	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	18884700;18919345;18924067;18931294;18933020;18933656;18937746;18965470	18885490;18919511;18924271;18931449;18933142;18933794;18942418;18965897	+;+;+;+;+;+;+;+	6682	601	590
ENSG00000200754.1	chr21	18899458	18899565	-	108	0	0
ENSG00000199962.1	chr21	18949116	18949224	+	109	0	0
ENSG00000154640.10	chr21;chr21;chr21;chr21;chr21;chr21	18965971;18970935;18976463;18977178;18981093;18985017	18966650;18971142;18976594;18977315;18981470;18985265	-;-;-;-;-;-	1785	266	242
ENSG00000226956.1	chr21;chr21	19031594;19032581	19031987;19032702	-;-	516	0	0
ENSG00000240770.1	chr21;chr21;chr21;chr21;chr21	19135632;19136078;19139903;19159345;19164794	19135904;19136178;19140015;19159527;19164840	-;-;-;-;-	717	1	1
ENSG00000154642.6	chr21;chr21;chr21;chr21;chr21;chr21;chr21	19161284;19167525;19168899;19183673;19186194;19190509;19191620	19165898;19167587;19169435;19183788;19186246;19190642;19191703	-;-;-;-;-;-;-	5602	363	295
ENSG00000244676.1	chr21;chr21;chr21	19165805;19181262;19182812	19165875;19181293;19183162	+;+;+	454	1	1
ENSG00000231755.1	chr21;chr21;chr21	19207333;19212812;19257779	19208143;19212970;19257925	-;-;-	1117	0	0
ENSG00000221335.1	chr21	19264028	19264116	+	89	0	0
ENSG00000154645.9	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	19273580;19289537;19400190;19617150;19618192;19628826;19629287;19632517;19635108;19638271	19273741;19289717;19400289;19617619;19618286;19629135;19629444;19632603;19635210;19639690	+;+;+;+;+;+;+;+;+;+	3086	5	4
ENSG00000227330.1	chr21;chr21;chr21;chr21;chr21	19394687;19396997;19406838;19472251;19487085	19394759;19397067;19406947;19472336;19487222	-;-;-;-;-	478	0	0
ENSG00000154646.4	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	19641433;19647514;19651281;19653357;19666587;19666920;19670051;19685262;19687463;19698749;19701486;19704401;19713730;19715823;19716272;19725220;19726040;19732074;19737457;19744510;19751600;19755944;19770196;19770516;19775795	19642441;19647653;19651376;19653538;19666761;19666969;19670146;19685394;19687573;19698889;19701611;19704490;19713865;19715973;19716377;19725369;19726180;19732180;19737565;19744641;19751635;19756095;19770263;19770646;19775973	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3947	0	0
ENSG00000228708.1	chr21;chr21	19849676;19858810	19850028;19858917	-;-	461	0	0
ENSG00000224141.1	chr21;chr21;chr21;chr21	19933583;19961845;20110242;20132092	19934009;19961938;20110343;20132321	-;-;-;-	853	0	0
ENSG00000230233.1	chr21;chr21;chr21	19986749;20013007;20022086	19986883;20013157;20022678	+;+;+	879	0	0
ENSG00000265841.1	chr21	20058408	20058482	-	75	0	0
ENSG00000221041.2	chr21	20076689	20076772	-	84	0	0
ENSG00000232193.1	chr21;chr21	20290252;20307678	20290535;20308177	-;-	784	0	0
ENSG00000226204.1	chr21;chr21	20325582;20339266	20325894;20339376	-;-	424	0	0
ENSG00000235965.2	chr21;chr21	20418629;20419930	20419344;20420003	-;-	790	0	0
ENSG00000229289.1	chr21;chr21	20502841;20506442	20503009;20506741	+;+	469	0	0
ENSG00000231620.1	chr21;chr21	20673930;20675686	20674194;20676056	+;+	636	0	0
ENSG00000212609.1	chr21	20717465	20717629	+	165	0	0
ENSG00000233480.1	chr21;chr21;chr21	21265593;21270337;21272015	21265887;21270398;21272069	-;-;-	412	0	0
ENSG00000233236.1	chr21;chr21	21629065;21630865	21629659;21631133	-;-	864	0	0
ENSG00000251851.1	chr21	21728060	21728164	-	105	0	0
ENSG00000252963.1	chr21	21728965	21729208	+	244	0	0
ENSG00000224924.2	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	22114913;22150736;22150961;22153667;22153888;22154625;22158354;22175313	22116151;22150865;22151080;22153792;22153979;22154764;22158406;22175416	-;-;-;-;-;-;-;-	2004	0	0
ENSG00000154654.10	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	22370633;22519438;22582860;22611662;22652898;22656514;22658589;22664424;22696703;22707825;22710709;22746183;22757924;22782594;22790793;22804428;22838927;22840983;22849612;22881172;22906858;22910167	22370936;22519569;22583010;22611731;22652972;22656720;22658732;22664561;22696820;22707985;22710854;22746333;22757994;22782781;22790889;22804601;22839046;22841104;22849792;22881376;22906977;22915650	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	8559	14	11
ENSG00000226771.1	chr21;chr21	22595616;22598969	22596068;22599150	-;-	635	0	0
ENSG00000221210.1	chr21	22770068	22770146	-	79	0	0
ENSG00000234730.1	chr21;chr21	22939084;22987351	22939284;22987758	+;+	609	0	0
ENSG00000237527.1	chr21;chr21;chr21;chr21;chr21	23027359;23029260;23030362;23031341;23058569	23027428;23029340;23030519;23031430;23058649	-;-;-;-;-	480	0	0
ENSG00000238265.1	chr21;chr21;chr21	23095613;23099352;23109572	23096094;23099413;23109639	-;-;-	612	0	0
ENSG00000233997.1	chr21;chr21;chr21;chr21;chr21	23119305;23120715;23157293;23158619;23169499	23119363;23121004;23157373;23158711;23169735	+;+;+;+;+	760	0	0
ENSG00000227075.1	chr21;chr21;chr21	23305635;23345439;23347879	23305919;23345561;23348000	-;-;-	530	0	0
ENSG00000233215.1	chr21;chr21;chr21;chr21;chr21;chr21	23381477;23388619;23413539;23415264;23468848;23470632	23381677;23388729;23413754;23415427;23468905;23470778	-;-;-;-;-;-	897	1	0
ENSG00000184856.6	chr21;chr21;chr21;chr21;chr21;chr21	23470936;23481765;23484090;23487079;23487297;23488655	23471031;23481872;23484145;23487217;23487431;23488847	+;+;+;+;+;+	727	0	0
ENSG00000202339.1	chr21	23577511	23577651	+	141	0	0
ENSG00000226043.1	chr21;chr21;chr21	23582258;23585054;23793090	23582563;23585132;23793139	+;+;+	435	0	0
ENSG00000234034.1	chr21;chr21;chr21	23872924;23891063;23892187	23873630;23891141;23892377	-;-;-	977	0	0
ENSG00000263796.1	chr21	24052992	24053286	+	295	0	0
ENSG00000230972.1	chr21;chr21;chr21;chr21;chr21	24437813;24440241;24481142;24500963;24503345	24437991;24440358;24481324;24501060;24503528	+;+;+;+;+	762	0	0
ENSG00000223078.1	chr21	24654058	24654231	-	174	0	0
ENSG00000228592.1	chr21;chr21;chr21;chr21;chr21	24733426;24736360;24744649;24745270;24757009	24734561;24736515;24744770;24745406;24757182	-;-;-;-;-	1725	0	0
ENSG00000199698.1	chr21	24804501	24804602	-	102	0	0
ENSG00000227716.1	chr21;chr21	24849960;24862314	24850090;24863043	+;+	861	0	0
ENSG00000231986.1	chr21;chr21;chr21	25261114;25261826;25262723	25261441;25262042;25262857	-;-;-	680	0	0
ENSG00000235564.1	chr21;chr21	25333220;25339495	25333903;25339588	-;-	778	0	0
ENSG00000226996.1	chr21;chr21	25415572;25421835	25415651;25422601	+;+	847	0	0
ENSG00000224018.1	chr21;chr21;chr21	25527484;25559584;25560613	25528043;25559673;25560655	-;-;-	693	0	0
ENSG00000224832.1	chr21;chr21;chr21;chr21	25676863;25679932;25680529;25693563	25678482;25680072;25680646;25693690	-;-;-;-	2007	0	0
ENSG00000237484.5	chr21;chr21;chr21;chr21;chr21;chr21	25801054;25810567;25813483;25814109;25857937;25860427	25801218;25810747;25813667;25814227;25857999;25862621	+;+;+;+;+;+	2908	1	4
ENSG00000226983.2	chr21;chr21;chr21;chr21	26212864;26217093;26402097;26427747	26213042;26217243;26402172;26430059	+;+;+;+	2719	0	0
ENSG00000227090.1	chr21;chr21	26258990;26274992	26259450;26275070	-;-	540	0	0
ENSG00000230379.1	chr21;chr21	26310745;26324225	26310938;26324471	-;-	441	0	0
ENSG00000244278.1	chr21;chr21;chr21;chr21	26427848;26433939;26441040;26442029	26427897;26434024;26441191;26442219	+;+;+;+	479	0	0
ENSG00000232512.2	chr21;chr21;chr21	26467355;26473445;26475601	26467466;26473633;26475983	+;+;+	684	0	0
ENSG00000223870.1	chr21;chr21;chr21;chr21	26499782;26505958;26507272;26507522	26499830;26506065;26507365;26507561	+;+;+;+	291	0	0
ENSG00000222042.1	chr21;chr21;chr21;chr21	26541745;26543071;26547555;26706051	26542063;26543220;26547759;26706139	-;-;-;-	763	0	0
ENSG00000238627.1	chr21	26574521	26574629	+	109	0	0
ENSG00000238660.1	chr21	26711319	26711413	+	95	0	0
ENSG00000185433.4	chr21;chr21;chr21;chr21;chr21	26758133;26793020;26796866;26802078;26803490	26758651;26793112;26796961;26802321;26804013	-;-;-;-;-	1476	1	0
ENSG00000238314.1	chr21	26842421	26842513	-	93	0	0
ENSG00000229962.1	chr21;chr21	26887785;26890588	26888767;26890650	-;-	1046	0	0
ENSG00000234883.2	chr21	26946292	26946356	+	65	3	1
ENSG00000260583.1	chr21	26955082	26955638	-	557	0	0
ENSG00000154719.9	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	26957968;26960013;26961147;26965124;26966205;26969614;26972111;26973680;26976108;26978761;26979715	26958066;26960101;26961194;26965277;26966270;26969726;26972178;26973779;26976247;26978967;26979829	-;-;-;-;-;-;-;-;-;-;-	1199	274	213
ENSG00000154721.10	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	27011584;27056195;27062178;27066068;27070989;27074482;27078291;27081746;27083700;27084533;27084652;27086543;27086952	27012200;27056260;27062285;27066220;27071191;27074581;27078402;27081761;27083867;27084544;27084694;27086885;27089874	+;+;+;+;+;+;+;+;+;+;+;+;+	4864	96	68
ENSG00000154723.8	chr21;chr21;chr21;chr21;chr21;chr21;chr21	27088815;27089973;27096791;27097537;27101942;27106644;27107164	27088872;27090071;27096988;27097661;27102112;27106686;27107984	-;-;-;-;-;-;-	1515	869	805
ENSG00000154727.6	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	27106881;27107695;27113884;27117521;27121347;27124300;27130321;27134623;27136521;27136906;27141315	27107381;27107889;27113986;27117665;27121431;27124659;27130515;27134676;27136661;27137098;27144771	+;+;+;+;+;+;+;+;+;+;+	5429	404	384
ENSG00000142192.16	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	27252861;27264034;27269885;27277336;27284053;27326904;27327941;27347383;27348267;27354657;27369675;27372330;27381911;27394156;27423316;27425552;27462259;27484296;27512471;27542882;27543303	27254082;27264180;27269985;27277389;27284274;27327003;27328069;27347541;27348341;27354790;27369731;27372497;27382228;27394358;27423509;27425664;27462388;27484463;27512778;27543138;27543446	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4403	7513	6592
ENSG00000233783.3	chr21;chr21;chr21;chr21	27306373;27307224;27310104;27313623	27306680;27307584;27310226;27315001	+;+;+;+	2171	0	0
ENSG00000251972.1	chr21	27315359	27315460	-	102	0	0
ENSG00000224541.1	chr21;chr21	27530409;27547928	27530585;27548142	+;+	392	0	0
ENSG00000273492.1	chr21;chr21;chr21	27543189;27587064;27588021	27543370;27587180;27589700	+;+;+	1979	0	1
ENSG00000206802.1	chr21	27563026	27563132	+	107	0	0
ENSG00000229025.1	chr21;chr21	27722099;27722586	27722246;27722953	-;-	516	0	0
ENSG00000232692.1	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	27750871;27754844;27759320;27760043;27762455;27785371;27788828;27789029;27790262;27842879;27843070	27751023;27754915;27759377;27760101;27762584;27785585;27788980;27789255;27790406;27842965;27844017	+;+;+;+;+;+;+;+;+;+;+	2247	0	0
ENSG00000197934.4	chr21;chr21;chr21;chr21;chr21;chr21;chr21	27765954;27778262;27875901;27878886;27890841;27922638;27940276	27766016;27778447;27876021;27879051;27890912;27924446;27941571	+;+;+;+;+;+;+	3713	0	0
ENSG00000273115.1	chr21	27832222	27832533	-	312	0	0
ENSG00000166265.7	chr21;chr21;chr21;chr21;chr21;chr21	27838528;27850290;27852591;27936978;27938585;27945187	27840953;27850454;27852748;27937144;27938687;27945603	-;-;-;-;-;-	3436	170	130
ENSG00000154734.10	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	28208066;28210758;28211906;28212194;28212595;28213317;28214177;28214658;28216544	28210597;28210933;28212081;28212380;28212881;28213484;28214309;28215004;28217728	-;-;-;-;-;-;-;-;-	5191	921	602
ENSG00000223563.1	chr21;chr21;chr21	28261695;28282185;28311935	28261763;28282349;28312061	+;+;+	361	0	0
ENSG00000154736.5	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	28290231;28302205;28304323;28305180;28306785;28315699;28327058;28337607	28296939;28302380;28304498;28305363;28307068;28315866;28327190;28338832	-;-;-;-;-;-;-;-	9056	122	108
ENSG00000266133.1	chr21	28326280	28326362	+	83	0	0
ENSG00000231236.2	chr21;chr21;chr21;chr21	28731204;28770799;28771851;28820697	28733475;28770884;28771893;28820898	-;-;-;-	2603	0	0
ENSG00000236332.1	chr21;chr21;chr21;chr21;chr21	28733483;28735032;28759786;28763709;28767900	28733772;28735132;28759979;28763870;28768106	+;+;+;+;+	954	0	0
ENSG00000234052.1	chr21;chr21;chr21	29011012;29020984;29025675	29011242;29021084;29025810	+;+;+	468	0	0
ENSG00000225298.1	chr21;chr21;chr21;chr21	29097118;29115712;29118137;29123391	29097200;29115823;29118351;29123552	+;+;+;+	572	0	0
ENSG00000234083.1	chr21;chr21;chr21	29327240;29350228;29357359	29327341;29350441;29357614	+;+;+	572	0	0
ENSG00000178457.3	chr21;chr21	29385682;29395016	29385751;29395552	+;+	607	0	0
ENSG00000232079.2	chr21;chr21;chr21;chr21;chr21	29420733;29474869;29502849;29507633;29509009	29420856;29475088;29502941;29508027;29509930	+;+;+;+;+	1754	0	0
ENSG00000236532.1	chr21;chr21;chr21;chr21;chr21;chr21	29488413;29535921;29542397;29584559;29598203;29600681	29492193;29536036;29542462;29584667;29598310;29600986	-;-;-;-;-;-	4486	0	0
ENSG00000232855.2	chr21;chr21;chr21;chr21;chr21	29811667;29818611;29949541;29998907;30046969	29817130;29818793;29949702;29998998;30047170	-;-;-;-;-	6103	4	7
ENSG00000226935.2	chr21;chr21	29911640;29912375	29912206;29912677	+;+	870	0	0
ENSG00000251894.1	chr21	30115530	30115613	+	84	0	0
ENSG00000156239.7	chr21;chr21;chr21;chr21;chr21;chr21	30244513;30250514;30252192;30254482;30255307;30257534	30248813;30250655;30252275;30254572;30255393;30257693	-;-;-;-;-;-	4865	103	92
ENSG00000198862.9	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	30300466;30303477;30304792;30307431;30308848;30313542;30315584;30315989;30316705;30318129;30318474;30319786;30324482;30325539;30329084;30329654;30330708;30331780;30332839;30333639;30336899;30338187;30338692;30341788;30342874;30343593;30353441;30354638;30357013;30358460;30359052;30365085	30302832;30303644;30304986;30307651;30309019;30313728;30315658;30316226;30316918;30318273;30318609;30319928;30324586;30325698;30329270;30329798;30330861;30332019;30333028;30333855;30337088;30338228;30339501;30341923;30343064;30343766;30353621;30354690;30357243;30358558;30359255;30365270	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	8156	753	670
ENSG00000156253.2	chr21;chr21;chr21;chr21;chr21;chr21	30376705;30380082;30380561;30380716;30381916;30391532	30378972;30380444;30380628;30380942;30382013;30391699	-;-;-;-;-;-	3192	136	106
ENSG00000273254.1	chr21	30396576	30397211	-	636	0	2
